name,population,timezone,federal_subject,federal_district
Berëzovskiy,55000,Asia/Novokuznetsk,,
Zamoskvorech’ye,55000,Europe/Moscow,,
Belorechensk,54526,Europe/Moscow,Krasnodar Krai,South
Krasnokamensk,54316,Asia/Chita,Zabaykalsky Krai,Far East
Kupchino,54198,Europe/Moscow,,
Altuf’yevskiy,54000,Europe/Moscow,,
Timashyovsk,53940,Europe/Moscow,Krasnodar Krai,South
Severomorsk,53921,Europe/Moscow,,
Domodedovo,53887,Europe/Moscow,Moscow Oblast,Central
Vyshniy Volochëk,53800,Europe/Moscow,,
Anapa,53600,Europe/Moscow,Krasnodar Krai,South
Buguruslan,53511,Asia/Yekaterinburg,,
Fryazevo,53212,Europe/Moscow,,
Yartsevo,52706,Europe/Moscow,,
Krasnokamsk,52689,Asia/Yekaterinburg,,
Fryazino,52255,Europe/Moscow,Moscow Oblast,Central
Zarinsk,52209,Asia/Barnaul,,
Nyagan,52137,Asia/Yekaterinburg,Khanty-Mansi Autonomous Okrug-Yugra,Ural
Kimry,52070,Europe/Moscow,,
Levoberezhnyy,52000,Europe/Moscow,,
Vidnoye,51721,Europe/Moscow,Moscow Oblast,Central
Tulun,51330,Asia/Irkutsk,,
Ivanteyevka,51085,Europe/Moscow,Moscow Oblast,Central
Donetsk,50850,Europe/Moscow,,
Gelendzhik,50715,Europe/Moscow,Krasnodar Krai,South
Lytkarino,50619,Europe/Moscow,Moscow Oblast,Central
Kingisepp,50566,Europe/Moscow,,
Kizlyar,50564,Europe/Moscow,,
Chusovoy,50205,Asia/Yekaterinburg,,
Otradnyy,50127,Europe/Samara,,
Snezhinsk,50086,Asia/Yekaterinburg,Chelyabinsk Oblast,Ural
Kozhukhovo,50000,Europe/Moscow,,
Likhobory,50000,Europe/Moscow,,
Nikol’skoye,50000,Europe/Moscow,,
Kozeyevo,50000,Europe/Moscow,,
Novokhovrino,50000,Europe/Moscow,,
Semënovskoye,50000,Europe/Moscow,,
Vatutino,50000,Europe/Moscow,,
Akademgorodok,50000,Asia/Novosibirsk,,
Novokuz’minki,50000,Europe/Moscow,,
Untolovo,50000,Europe/Moscow,,
Novovladykino,50000,Europe/Moscow,,
Metrogorodok,50000,Europe/Moscow,,
Vagonoremont,50000,Europe/Moscow,,
Sayanogorsk,49939,Asia/Krasnoyarsk,,
Kanash,49886,Europe/Moscow,,
Monchegorsk,49868,Europe/Moscow,,
Satka,49384,Asia/Yekaterinburg,,
Ruzayevka,49311,Europe/Moscow,,
Salekhard,49214,Asia/Yekaterinburg,,
Verkhnyaya Salda,48992,Asia/Yekaterinburg,,
Osinniki,48919,Asia/Novokuznetsk,,
Megion,48691,Asia/Yekaterinburg,,
Torzhok,48546,Europe/Moscow,,
Kuybyshev,48308,Asia/Novosibirsk,,
Sosnovaya Polyana,48271,Europe/Moscow,,
Vsevolozhsk,48224,Europe/Moscow,Leningrad Oblast,Northwest
Ust’-Kut,48202,Asia/Irkutsk,,
Kurganinsk,47681,Europe/Moscow,,
Raduzhny,47679,Asia/Yekaterinburg,,
Mtsensk,47609,Europe/Moscow,,
Belaya Kalitva,47521,Europe/Moscow,,
Shelekhov,47459,Asia/Irkutsk,,
Gryazi,47413,Europe/Moscow,,
Mozhga,47270,Europe/Samara,,
Dzerzhinsky,47163,Europe/Moscow,Moscow Oblast,Central
Beryozovsky,47000,Asia/Yekaterinburg,Sverdlovsk Oblast,Ural
Amursk,46993,Asia/Vladivostok,,
Livny,46779,Europe/Moscow,,
Kurchatov,46600,Europe/Moscow,,
Chebarkul’,46502,Asia/Yekaterinburg,,
Nadym,46339,Asia/Yekaterinburg,,
Staryy Malgobek,46334,Europe/Moscow,,
Pechora,46113,Europe/Moscow,,
Safonovo,46000,Europe/Moscow,,
Rasskazovo,45957,Europe/Moscow,,
Kol’chugino,45912,Europe/Moscow,,
Volkhov,45673,Europe/Moscow,,
Obukhovo,45664,Europe/Moscow,,
Yefremov,45497,Europe/Moscow,,
Kanevskaya,45334,Europe/Moscow,,
Spassk-Dal’niy,45265,Asia/Vladivostok,,
Shebekino,45194,Europe/Moscow,,
Chernyakhovsk,45187,Europe/Kaliningrad,,
Strezhevoy,44784,Asia/Tomsk,,
Avtovo,44667,Europe/Moscow,,
Kamen’-na-Obi,44564,Asia/Barnaul,,
Akhtubinsk,44551,Europe/Astrakhan,,
Krasnoye Selo,44323,Europe/Moscow,,
Krasnyy Sulin,44133,Europe/Moscow,,
